exchange,exchange_token,trading_symbol,groww_symbol,company_name,instrument_type,segment,series,isin,underlying_symbol,underlying_exchange_token,expiry_date,strike_price,lot_size,tick_size,freeze_quantity,is_reserved,buy_allowed,sell_allowed,internal_trading_symbol,is_intraday
NSE,25780,APLAPOLLO,NSE-APLAPOLLO,APL Apollo Tubes,EQ,CASH,EQ,INE702C01027,,,,,1,0.1,,,1,1,APLAPOLLO-EQ,1
NSE,20159,ARIHANTSUP,NSE-ARIHANTSUP,Arihant Superstructures,EQ,CASH,EQ,INE643K01018,,,,,1,0.05,,,1,1,ARIHANTSUP-EQ,1
NSE,6302,APOLSINHOT,NSE-APOLSINHOT,Apollo Sindoori Hotels,EQ,CASH,EQ,INE451F01024,,,,,1,0.1,,,1,1,APOLSINHOT-EQ,0
NSE,193,ARVIND,NSE-ARVIND,Arvind,EQ,CASH,EQ,INE034A01011,,,,,1,0.05,,,1,1,ARVIND-EQ,1
NSE,25398,ARKADE,NSE-ARKADE,Arkade Developers,EQ,CASH,EQ,INE0QRL01017,,,,,1,0.01,,,1,1,ARKADE-EQ,1
NSE,11491,APARINDS,NSE-APARINDS,Apar Industries,EQ,CASH,EQ,INE372A01015,,,,,1,1.0,,,1,1,APARINDS-EQ,1
NSE,236,ASIANPAINT,NSE-ASIANPAINT,Asian Paints,EQ,CASH,EQ,INE021A01026,,,,,1,0.1,,,1,1,ASIANPAINT-EQ,1
NSE,203,ASHAPURMIN,NSE-ASHAPURMIN,Ashapura Minechem,EQ,CASH,EQ,INE348A01023,,,,,1,0.05,,,1,1,ASHAPURMIN-EQ,1
NSE,762548,ASHIKA,NSE-ASHIKA,Ashika Credit Capital,EQ,CASH,EQ,INE094B01013,,,,,1,0.05,,,1,1,ASHIKA-EQ,1
NSE,2814,ARVEE,NSE-ARVEE,Arvee Labs (India),EQ,CASH,EQ,INE006Z01016,,,,,1,0.01,,,1,1,ARVEE-EQ,0
NSE,10634,ASAL,NSE-ASAL,Automotive Stamping,EQ,CASH,EQ,INE900C01027,,,,,1,0.05,,,1,1,ASAL-EQ,1
NSE,154,APCOTEXIND,NSE-APCOTEXIND,Apcotex Industries,EQ,CASH,EQ,INE116A01032,,,,,1,0.05,,,1,1,APCOTEXIND-EQ,1
NSE,14557,AROGRANITE,NSE-AROGRANITE,Aro Granite Inds,EQ,CASH,EQ,INE210C01013,,,,,1,0.01,,,1,1,AROGRANITE-EQ,0
NSE,20182,ASHOKA,NSE-ASHOKA,Ashoka Buildcon,EQ,CASH,EQ,INE442H01029,,,,,1,0.01,,,1,1,ASHOKA-EQ,1
NSE,757885,ANTHEM,NSE-ANTHEM,Anthem Biosciences,EQ,CASH,EQ,INE0CZ201020,,,,,1,0.05,,,1,1,ANTHEM-EQ,1
NSE,13885,ARIHANT,NSE-ARIHANT,Arihant Foundations,EQ,CASH,EQ,INE413D01011,,,,,1,0.05,,,1,1,ARIHANT-EQ,0
NSE,181,ARENTERP,NSE-ARENTERP,Rajdarshan Inds,EQ,CASH,EQ,INE610C01014,,,,,1,0.01,,,1,1,ARENTERP-EQ,0
NSE,17263,ARMANFIN,NSE-ARMANFIN,Arman Financial Serv,EQ,CASH,EQ,INE109C01017,,,,,1,0.1,,,1,1,ARMANFIN-EQ,1
NSE,206,ASHIMASYN,NSE-ASHIMASYN,Ashima,EQ,CASH,EQ,INE440A01010,,,,,1,0.01,,,1,1,ASHIMASYN-EQ,0
NSE,9014,ANUP,NSE-ANUP,Anup Engineering,EQ,CASH,EQ,INE294Z01018,,,,,1,0.1,,,1,1,ANUP-EQ,1
NSE,163,APOLLOTYRE,NSE-APOLLOTYRE,Apollo Tyres,EQ,CASH,EQ,INE438A01022,,,,,1,0.05,,,1,1,APOLLOTYRE-EQ,1
NSE,100,ARE&M,NSE-ARE&M,Amara Raja Energy,EQ,CASH,EQ,INE885A01032,,,,,1,0.05,,,1,1,ARE&M-EQ,1
NSE,17598,ASALCBR,NSE-ASALCBR,Assoc Alcohol & Brew,EQ,CASH,EQ,INE073G01016,,,,,1,0.05,,,1,1,ASALCBR-EQ,1
